task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	d2/0e7617	23374	fastp (filter GCA009944615)	COMPLETED	0	2022-01-12 16:40:09.079	3.3s	3.1s	107.9%	1002 MB	1 GB	11.9 MB	4.1 MB
2	89/b3694a	23805	fastp (filter SRR12825099)	COMPLETED	0	2022-01-12 16:40:12.414	5.9s	5.7s	115.1%	819.2 MB	1 GB	13.6 MB	4.9 MB
1	84/8b8eb4	23366	fastp (filter T7)	COMPLETED	0	2022-01-12 16:40:09.046	12.3s	12.1s	124.5%	1.1 GB	1.7 GB	45.7 MB	15.2 MB
5	02/6960b4	25043	assembly (SRR12825099)	COMPLETED	0	2022-01-12 16:40:21.371	12.8s	12.6s	139.8%	106.7 MB	19.4 GB	73.5 MB	24.1 MB
4	13/952746	24558	assembly (GCA009944615)	COMPLETED	0	2022-01-12 16:40:18.343	18.3s	18s	182.3%	85 MB	2.9 GB	131.7 MB	80.5 MB
7	57/5df8d5	29200	prokka (SRR12825099)	COMPLETED	0	2022-01-12 16:40:36.627	6.6s	6.4s	81.3%	50.9 MB	249 MB	16.3 MB	2 MB
8	99/e48bb8	32197	prokka (GCA009944615)	COMPLETED	0	2022-01-12 16:40:43.260	16.7s	16.5s	142.6%	188.1 MB	33.7 GB	19.7 MB	14.9 MB
6	c1/81b198	28909	assembly (T7)	COMPLETED	0	2022-01-12 16:40:34.219	31s	30.7s	180.5%	136.5 MB	19.4 GB	211.1 MB	190.5 MB
10	ca/858462	5165	quast (quast)	COMPLETED	0	2022-01-12 16:41:05.235	6.3s	6.1s	142.9%	134.9 MB	2.4 GB	152.1 MB	4.2 MB
11	1e/bb26e6	6951	multiqc	COMPLETED	0	2022-01-12 16:41:11.606	6.1s	5.9s	101.8%	104.8 MB	1.2 GB	49.9 MB	5.8 MB
9	c4/00a269	5163	prokka (T7)	COMPLETED	0	2022-01-12 16:41:05.225	14s	13.8s	106.1%	152.1 MB	33.7 GB	18.7 MB	17.1 MB
