locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGAOLEAD_00001	CDS	354				hypothetical protein
OGAOLEAD_00002	CDS	156				hypothetical protein
OGAOLEAD_00003	CDS	144				hypothetical protein
OGAOLEAD_00004	CDS	162				hypothetical protein
OGAOLEAD_00005	CDS	219				hypothetical protein
OGAOLEAD_00006	CDS	1080				hypothetical protein
OGAOLEAD_00007	CDS	2652				hypothetical protein
OGAOLEAD_00008	CDS	129				hypothetical protein
OGAOLEAD_00009	CDS	258				hypothetical protein
OGAOLEAD_00010	CDS	1080				hypothetical protein
OGAOLEAD_00011	CDS	156				hypothetical protein
OGAOLEAD_00012	CDS	90				hypothetical protein
OGAOLEAD_00013	CDS	261				hypothetical protein
OGAOLEAD_00014	CDS	591				hypothetical protein
OGAOLEAD_00015	CDS	147				hypothetical protein
OGAOLEAD_00016	CDS	195				hypothetical protein
OGAOLEAD_00017	CDS	699				hypothetical protein
OGAOLEAD_00018	CDS	450				hypothetical protein
OGAOLEAD_00019	CDS	456				hypothetical protein
OGAOLEAD_00020	CDS	366				hypothetical protein
OGAOLEAD_00021	CDS	1701				hypothetical protein
OGAOLEAD_00022	CDS	213				hypothetical protein
OGAOLEAD_00023	CDS	270				hypothetical protein
OGAOLEAD_00024	CDS	408				hypothetical protein
OGAOLEAD_00025	CDS	2115				hypothetical protein
OGAOLEAD_00026	CDS	357				hypothetical protein
OGAOLEAD_00027	CDS	300				hypothetical protein
OGAOLEAD_00028	CDS	210				hypothetical protein
OGAOLEAD_00029	CDS	159				hypothetical protein
OGAOLEAD_00030	CDS	903				hypothetical protein
OGAOLEAD_00031	CDS	255				hypothetical protein
OGAOLEAD_00032	CDS	267				hypothetical protein
OGAOLEAD_00033	CDS	402				hypothetical protein
OGAOLEAD_00034	CDS	300				hypothetical protein
OGAOLEAD_00035	CDS	393				hypothetical protein
OGAOLEAD_00036	CDS	1611				hypothetical protein
OGAOLEAD_00037	CDS	924				hypothetical protein
OGAOLEAD_00038	CDS	1038				hypothetical protein
OGAOLEAD_00039	CDS	159				hypothetical protein
OGAOLEAD_00040	CDS	591				hypothetical protein
OGAOLEAD_00041	CDS	2385				hypothetical protein
OGAOLEAD_00042	CDS	417				hypothetical protein
OGAOLEAD_00043	CDS	591				hypothetical protein
OGAOLEAD_00044	CDS	2244				hypothetical protein
OGAOLEAD_00045	CDS	3957				hypothetical protein
OGAOLEAD_00046	CDS	1662				hypothetical protein
OGAOLEAD_00047	CDS	204				hypothetical protein
OGAOLEAD_00048	CDS	270				hypothetical protein
OGAOLEAD_00049	CDS	432				hypothetical protein
OGAOLEAD_00050	CDS	1761				hypothetical protein
OGAOLEAD_00051	CDS	150				hypothetical protein
